W,PRON,Include,256,NL,NN,SFN,NBN,SFBN,NBF,NBE,SFBF,SFBE,NON,SFON,NPN,SFPN,BFNC,BFNT,TFNC,TFNT,BFSC,BFST,TFSC,TFST,NP
spriche,sprIS,,,7,0,0,1,4,0,1,0,4,33,233,3,22,1416,2154789,206,92918,68,3467,12,744,5
sprien,spr2n,,,6,0,0,1,1,0,1,0,1,33,233,2,0,830,371027,101,33095,107,17122,21,4694,5
sprike,spr2k,1,,6,2,73,9,1891,9,0,1891,0,33,233,2,124,912,290780,96,50358,107,19519,22,7249,5
sprir,spr3,,,5,2,2,4,178,4,0,178,0,33,233,3,2,707,230135,69,11883,74,69402,7,311,4
sprirque,spr3k,,,8,0,0,1,0,1,0,0,0,33,233,0,0,934,261586,120,14331,15,707,4,94,5
sproat,spr5t,1,,6,1,2,11,176,11,0,176,0,33,233,4,2,977,665526,124,20576,97,19642,18,4890,5
sproe,spr5,1,,5,1,2,9,48,8,1,34,14,33,233,3,2,687,257398,72,9083,69,18363,5,271,4
sproth,sprQT,1,,6,0,0,9,636,4,5,51,585,33,233,0,0,1054,2266980,112,26663,114,27362,17,4008,5
spruite,sprut,1,,7,0,0,2,452,0,2,0,452,33,233,5,3,843,556164,82,37938,46,1740,10,475,5
sprurb,spr3b,,,6,0,0,2,6,2,0,6,0,33,233,0,0,617,156646,46,4569,92,12829,17,3488,5
sprurl,spr3l,,,6,0,0,4,6,4,0,6,0,33,233,1,0,639,177697,51,4970,92,12829,17,3488,5
sprusp,sprVsp,1,,6,0,0,1,0,1,0,0,0,33,233,0,0,771,239788,64,8318,98,13653,19,3966,6
sprymph,sprImf,,,7,0,0,2,4,2,0,4,0,33,233,0,0,496,70767,42,4442,43,1675,9,474,6
squark,skw#k,1,,6,2,86,1,0,1,0,0,0,39,171,2,0,650,296827,129,17788,45,7401,24,5250,5
strache,str{S,,,7,0,0,2,6,1,1,1,5,73,1382,2,4,1797,2418045,296,79663,94,18737,29,7491,5
straif,str1f,,,6,2,35,1,1,1,0,1,0,73,1382,7,170,1185,553625,178,53569,151,41770,42,15250,5
stralf,str{lf,1,,6,0,0,2,313,0,2,0,313,73,1382,0,0,1121,522006,134,46252,152,41252,40,14639,6
stralp,str{lp,,,6,0,0,2,4,2,0,4,0,73,1382,0,0,1128,523955,138,41656,152,41252,40,14639,6
strarge,str#_,,,7,1,97,5,422,5,0,422,0,73,1382,1,0,1544,699525,165,60030,104,21031,31,7534,5
strauve,str9v,1,,7,0,0,1,4,0,1,0,4,73,1382,4,5,1242,546202,139,40228,90,18440,29,7491,5
streath,striT,,,7,1,0,5,291,3,2,18,273,73,1382,5,178,1853,3223386,275,120584,103,20442,35,8652,5
strench,strEnJ,,,7,1,39,10,170,10,0,170,0,73,1382,0,0,1624,1148112,202,58491,102,23524,30,7568,6
stresk,strEsk,1,,6,2,37,1,81,1,0,81,0,73,1382,1,2,1626,903902,160,55213,149,50267,38,20085,6
streve,striv,1,,6,2,6,2,29,2,0,29,0,73,1382,5,182,1250,861955,124,40721,161,50652,38,19699,5
stridge,strI_,1,,7,0,0,4,75,4,0,75,0,73,1382,2,35,1212,551467,177,46191,103,19346,30,6430,5
strirp,str3p,,,6,0,0,1,0,1,0,0,0,73,1382,4,19,1004,496331,113,35787,160,46373,39,16253,5
stroff,strQf,1,,6,0,0,3,747,3,0,747,0,73,1382,4,168,1045,1044370,116,43803,148,45204,36,17151,5
stroise,str4s,,,7,0,0,2,60,0,2,0,60,73,1382,1,106,1332,1126971,135,38597,89,32867,25,5706,5
strusque,strVsk,,,8,0,0,1,1,0,1,0,1,73,1382,0,0,1109,509247,213,44443,28,9811,12,4627,6
strutch,strVJ,1,,7,1,39,5,35,4,1,30,5,73,1382,5,58,1289,715197,183,50076,89,17882,25,6307,5
swauk,sw9k,,,5,1,0,1,0,1,0,0,0,87,447,7,4,298,275326,34,1078,55,5545,13,241,4
sweach,swiJ,1,,6,0,0,10,811,10,0,811,0,87,447,7,190,1120,686839,87,44043,135,20131,19,924,4
sweb,swEb,,,4,1,1,2,6,2,0,6,0,87,447,3,2,241,182223,20,3146,18,1231,0,0,4
swef,swEf,1,,4,0,0,3,4,3,0,4,0,87,447,4,2,255,195067,18,3023,23,1702,0,0,4
swelm,swElm,1,,5,1,9,2,8,2,0,8,0,87,447,2,1,393,263816,40,23319,77,14608,10,2800,5
swerth,sw3T,,,6,0,0,1,4,1,0,4,0,87,447,3,3,729,2357572,57,73735,81,16650,12,1225,4
sweuth,swuT,1,,6,1,0,1,0,1,0,0,0,87,447,4,1,624,2240477,32,14911,66,12775,10,355,4
swilm,swIlm,,,5,1,1,1,72,1,0,72,0,87,447,2,0,430,310849,41,42641,98,50400,12,1398,5
swirge,sw3_,1,,6,0,0,1,0,1,0,0,0,87,447,3,6,540,374775,58,14326,78,14878,11,3363,4
swirr,sw3,1,,5,2,2,1,0,1,0,0,0,87,447,6,17,322,298046,35,3326,80,13720,13,1422,3
swoan,sw5n,,,5,2,6,4,25,4,0,25,0,87,447,6,58,531,864701,23,1664,56,8441,7,554,4
swoile,sw4l,1,,6,0,0,1,0,1,0,0,0,87,447,4,9,819,407551,89,27285,38,3673,5,218,4
swoll,swQl,,,5,2,10,12,73,4,8,26,47,87,447,9,15,485,402477,47,3758,82,45548,9,569,4
sworce,sw9s,,,6,0,0,1,157,1,0,157,0,87,447,6,8,491,588763,47,56530,85,20685,9,1989,4
swulb,swVlb,1,,5,0,0,1,6,1,0,6,0,87,447,0,0,191,122028,4,597,52,87714,1,376,5
swulf,swVlf,,,5,0,0,1,14,1,0,14,0,87,447,0,0,202,129345,4,664,53,87955,1,376,5
swulge,swVl_,1,,6,0,0,1,5,1,0,5,0,87,447,0,0,407,189091,7,676,56,10931,0,0,5
thaif,T1f,1,,5,1,0,1,1,1,0,1,0,119,95453,6,65,728,2623621,30,229705,102,204014,7,3608,3
theich,T1J,,,6,0,0,1,3,0,1,0,3,119,95453,2,0,1151,3982183,76,1420269,123,32198,6,790,3
therg,T3g,,,5,2,3035,1,1,1,0,1,0,119,95453,5,222,782,3891437,83,1465443,79,401985,10,196744,3
therge,T3_,1,,6,0,0,3,13,3,0,13,0,119,95453,8,233,998,3958547,110,1476698,100,31739,8,3200,3
thirth,T3T,,,6,0,0,4,61,4,0,61,0,119,95453,9,431,914,4299257,74,131254,121,41815,17,12183,3
thisp,TIsp,1,,5,0,0,3,13,3,0,13,0,119,95453,2,0,733,2635088,36,287678,100,296054,11,26114,4
thoff,TQf,1,,5,0,0,3,747,3,0,747,0,119,95453,4,41,563,2634233,17,41373,89,223535,4,14677,3
tholk,TQlk,,,5,0,0,2,19,0,2,0,19,119,95453,0,0,614,2167186,20,39950,83,227322,4,21381,4
thorch,T9J,,,6,0,0,3,23,3,0,23,0,119,95453,8,991,1048,2660954,59,45930,155,58562,15,4485,3
thorge,T9_,1,,6,0,0,2,13,2,0,13,0,119,95453,7,1075,874,2529478,65,47476,122,54043,13,4765,3
thoule,T6l,1,,6,0,0,1,0,0,1,0,0,119,95453,6,10,1153,2768299,49,178289,95,77781,7,32408,3
thourge,T9_,,,7,0,0,1,2,0,1,0,2,119,95453,7,1075,1061,2674750,88,139001,51,60720,7,23893,3
thoz,TQz,1,,4,1,13,1,9,0,1,0,9,119,95453,4,8608,460,2092110,9,27963,31,460580,1,224,3
thrab,Tr{b,1,,5,1,2,16,53,15,1,52,1,43,1842,5,11,740,1995611,56,34573,51,193057,5,12289,4
thrac,Tr{k,,,5,0,0,5,3,5,0,3,0,43,1842,4,40,832,2087036,71,38682,50,193056,5,12289,4
thralc,Tr{lk,1,,6,1,1,1,0,1,0,0,0,43,1842,0,0,879,2131189,52,34612,105,24967,26,4552,5
thrarce,Tr#s,1,,7,0,0,2,12,1,1,3,9,43,1842,3,27,1219,2336592,76,44605,61,49018,11,16700,4
thrarse,Tr#s,,,7,0,0,2,6,2,0,6,0,43,1842,3,27,1420,2553147,117,73529,62,49337,11,16700,4
thrath,Tr{T,,,6,1,2,7,115,2,5,6,109,43,1842,1,2,1178,4295761,110,47538,133,35718,29,5618,4
threll,TrEl,1,,6,2,6,15,1859,15,0,1859,0,43,1842,5,36,1115,2612780,99,82962,110,33223,28,5419,4
threpe,Trip,1,,6,0,0,1,1,0,1,0,1,43,1842,2,10,1125,2395188,69,46864,107,32671,28,5419,4
thrilch,TrIlJ,,,7,0,0,2,0,2,0,0,0,43,1842,2,10,1256,2318579,105,36093,74,48571,22,16906,5
thrilt,TrIlt,1,,6,2,6,9,68,9,0,68,0,43,1842,3,11,924,2140522,113,40185,117,28915,36,5738,5
thrilth,TrIlT,,,7,0,0,2,6,2,0,6,0,43,1842,2,10,1208,4034087,118,43524,71,47842,22,16930,5
thrir,Tr3,,,5,1,2768,4,178,4,0,178,0,43,1842,6,1736,740,2110880,67,34956,49,244037,5,12289,3
throoge,Tru_,1,,7,0,0,2,1,2,0,1,0,43,1842,0,0,1211,2333557,115,66896,56,65961,18,32899,4
throurge,Tr9_,,,8,0,0,1,2,0,1,0,2,43,1842,1,1,1303,2701311,173,157271,23,2186,8,231,4
thruiff,Truf,,,7,0,0,1,0,0,1,0,0,43,1842,1,8,675,2066181,81,37186,40,45835,11,16723,4
thruint,Trunt,,,7,0,0,2,18,0,2,0,18,43,1842,0,0,1037,2506837,116,48669,42,45972,11,16723,5
thrulch,TrVlJ,1,,7,0,0,2,1,1,1,1,0,43,1842,0,0,989,2268492,72,37189,48,46798,12,16725,5
thrurve,Tr3v,,,7,0,0,1,12,1,0,12,0,43,1842,2,2,885,2195665,81,38736,42,45878,11,16723,4
thrusque,TrVsk,,,8,0,0,1,1,0,1,0,1,43,1842,1,10,869,2125671,169,43734,19,2444,6,549,5
thrutt,TrVt,1,,6,1,25,3,10,3,0,10,0,43,1842,4,29,605,2123624,70,37026,107,24892,29,4524,4
thrys,TrIs,,,5,0,0,1,1,0,1,0,1,43,1842,2,6,416,1959294,45,33043,57,193211,5,12289,4
thuice,Tus,1,,6,1,1,2,21,2,0,21,0,119,95453,6,26,644,2097035,43,19092,88,31347,8,1859,3
thutch,TVJ,1,,6,1,2,5,35,4,1,30,5,119,95453,9,3150,927,2282076,93,18340,124,31775,21,1552,3
thwab,Tw{b,,,5,0,0,16,53,15,1,52,1,5,1,1,0,461,2148200,12,80,33,179632,0,0,4
thwange,Tw{n_,1,,7,0,0,6,442,0,6,0,442,5,1,0,0,1038,3008003,110,41239,38,35101,6,3468,5
thwease,Twis,,,7,0,0,7,170,3,4,18,152,5,1,0,0,1229,2954844,82,34029,32,30136,2,2,4
thweat,Twit,,,6,1,60,18,1256,15,3,554,702,5,1,4,40,995,2691016,72,34281,53,21540,3,1104,4
thwee,Twi,1,,5,1,591,21,1958,20,1,1957,1,5,1,2,763,679,2250265,20,8765,54,191131,0,0,3
thwelse,TwEls,,,7,0,0,1,246,1,0,246,0,5,1,0,0,991,2421700,45,31812,30,29419,2,2,5
thwemp,TwEmp,1,,6,0,0,2,2,2,0,2,0,5,1,0,0,576,2132498,10,138,46,16986,2,23,5
thwese,Twis,,,6,0,0,1,1149,0,1,0,1149,5,1,0,0,1215,2488941,12,24450,73,33735,3,513,4
thwess,TwEs,1,,6,0,0,10,743,10,0,743,0,5,1,0,0,1041,2282462,26,20214,48,18072,3,583,4
thwin,TwIn,1,,5,0,0,19,17950,19,0,17950,0,5,1,2,12,742,2535096,32,9735,46,185898,0,0,4
thwinc,TwINk,,,6,0,0,1,4,1,0,4,0,5,1,0,0,844,2571130,53,19941,62,19143,2,23,5
thwizz,TwIz,,,6,0,0,2,1,2,0,1,0,5,1,1,5,414,2078759,11,65,42,15839,2,23,4
thwoathe,Tw5D,1,,8,0,0,1,2,1,0,2,0,5,1,0,0,1292,6088367,140,1325068,9,1308,1,2,4
thwoe,Tw5,,,5,0,0,9,48,8,1,34,14,5,1,1,35,381,2035798,7,94,32,179631,0,0,3
thwoove,Twuv,1,,7,0,0,2,4,2,0,4,0,5,1,0,0,882,2335455,67,22267,23,30785,2,2,4
thwoque,Tw5k,1,,7,0,0,1,0,1,0,0,0,5,1,1,0,576,2047274,51,2419,23,29000,3,27,4
thwow,Tw6,,,5,1,46,28,4548,14,14,2754,1794,5,1,0,0,497,2165074,6,60,33,180462,0,0,3
thwuip,Twup,1,,6,0,0,1,1,0,1,0,1,5,1,1,1,439,1924979,8,58,42,15839,2,23,4
thwulge,TwVl_,,,7,0,0,1,5,1,0,5,0,5,1,0,0,608,2074665,10,306,26,30731,2,2,5
thwurch,Tw3J,1,,7,0,0,2,153,2,0,153,0,5,1,0,0,856,2182267,33,10853,30,29954,2,2,4
tralf,tr{lf,,,5,0,0,2,313,0,2,0,313,113,2022,0,0,706,268840,61,21497,153,55656,13,5968,5
tralse,tr{ls,1,,6,0,0,2,45,0,2,0,45,113,2022,3,18,1111,537259,81,23678,143,31637,10,1198,5
trarsh,tr#S,,,6,0,0,2,26,2,0,26,0,113,2022,2,0,1276,590314,103,40193,171,32147,14,1561,4
trart,tr#t,,,5,2,6,13,853,11,2,851,2,113,2022,4,43,970,414838,94,40004,198,93121,18,12503,4
treich,tr1J,,,6,1,5,1,3,0,1,0,3,113,2022,6,420,1117,790377,45,73517,138,24536,4,415,4
troar,tr9,1,,5,0,0,5,17,5,0,17,0,113,2022,8,1154,997,512016,76,15417,134,55113,10,1465,3
trolf,trQlf,1,,5,1,1,2,34,1,1,28,6,113,2022,0,0,655,316536,53,10231,131,57479,9,708,5
trome,tr5m,1,,5,1,0,8,3050,6,2,510,2540,113,2022,6,9,774,619620,64,136249,142,55110,8,696,4
trooch,truJ,1,,6,1,2,3,2,2,1,0,2,113,2022,4,87,1230,601247,91,19908,186,30103,20,2024,4
trount,tr6nt,,,6,0,0,3,104,3,0,104,0,113,2022,1,0,1059,807473,152,91129,132,43313,16,10420,5
trume,trum,1,,5,2,4,3,3,3,0,3,0,113,2022,8,92,601,319795,52,11121,104,32722,13,4429,4
twab,tw{b,,,4,1,1,16,53,15,1,52,1,39,1496,1,2,211,281385,6,64,20,1340,1,20,4
twack,tw{k,1,,5,1,41,23,1767,23,0,1767,0,39,1496,5,25,530,439987,69,35611,103,46557,15,7531,4
twadge,tw{_,,,6,0,0,3,6,2,1,6,0,39,1496,1,2,529,530741,57,6092,60,13001,13,1314,4
twag,tw{g,1,,4,2,4,22,133,22,0,133,0,39,1496,3,3,248,294609,12,585,21,1649,1,19,4
twarn,tw#n,,,5,1,1,5,24,4,1,13,11,39,1496,3,13,596,545882,54,16142,101,45757,8,2161,4
twarse,tw#s,1,,6,0,0,2,6,2,0,6,0,39,1496,1,58,891,838921,100,49109,112,38834,13,11015,4
twarve,tw#v,,,6,0,0,2,8,2,0,8,0,39,1496,1,2,778,682340,63,14851,95,13927,6,358,4
twash,tw{S,,,5,1,4,22,229,21,1,190,39,39,1496,2,2,630,858555,57,194476,91,25971,13,1213,4
twaul,tw9l,1,,5,0,0,4,9,4,0,9,0,39,1496,3,1,338,406736,18,1191,33,2714,2,34,4
twaun,tw9n,1,,5,1,1,1,0,1,0,0,0,39,1496,4,16,427,355841,24,1648,32,2702,2,34,4
twiege,twi_,,,6,1,3,2,8,2,0,8,0,39,1496,3,2,468,318799,27,2981,56,15508,5,184,4
twirth,tw3T,1,,6,0,0,4,61,4,0,61,0,39,1496,2,1,616,2255578,65,15838,73,15965,13,1524,4
twoll,twQl,,,5,2,2,12,73,4,8,26,47,39,1496,2,1,436,421236,37,25802,59,42705,3,68,4
twont,twQnt,1,,5,0,0,3,250,1,2,1,249,39,1496,0,0,380,471418,10,33810,79,37666,1,4422,5
tworce,tw9s,1,,6,0,0,1,157,1,0,157,0,39,1496,1,58,442,607522,37,78574,72,20772,6,1914,4
twow,tw6,,,4,1,2,28,4548,14,14,2754,1794,39,1496,1,2,247,298259,3,22702,22,29410,1,44,3
twoy,tw4,,,4,2,4,9,287,9,0,287,0,39,1496,2,3,122,157368,2,22669,11,600,1,44,3
twuiff,twuf,1,,6,0,0,1,0,0,1,0,0,39,1496,0,0,225,135109,20,1172,23,2258,0,0,4
twuite,twut,,,6,0,0,2,452,0,2,0,452,39,1496,2,1,426,505837,35,31719,30,2617,2,275,4
twum,twVm,1,,4,1,1,16,92,16,0,92,0,39,1496,1,0,139,34412,1,21,13,843,1,21,4
velk,vElk,,,4,1,1,2,1,2,0,1,0,77,873,2,0,412,248889,6,52,45,59376,1,9,4
vesk,vEsk,1,,4,2,86,1,81,1,0,81,0,77,873,2,20,852,353084,82,15261,36,29492,2,1540,4
viff,vIf,1,,4,2,0,7,47,7,0,47,0,77,873,4,0,140,94152,19,1170,30,21706,2,7,3
vilge,vIl_,1,,5,1,2,1,2,1,0,2,0,77,873,1,2,453,189735,5,252,89,20976,3,143,4
voathe,v5D,,,6,1,2,1,2,1,0,2,0,77,873,4,71,956,4078399,134,1325039,83,11338,14,577,3
vodge,vQ_,1,,5,2,22,4,22,4,0,22,0,77,873,5,21,348,119442,52,6335,75,21438,17,2718,3
whalse,w{ls,1,,6,0,0,2,45,0,2,0,45,78,13700,3,8,863,1212074,52,63807,106,35233,5,199,4
whealt,wilt,,,6,0,0,1,20,0,1,0,20,78,13700,7,40,1023,2367607,97,103395,90,10865,8,564,4
whoob,wub,1,,5,1,1,1,0,1,0,0,0,78,13700,8,7,554,600064,45,66102,97,156205,8,12311,3
whuib,wub,,,5,0,0,1,0,0,1,0,0,78,13700,8,7,251,280614,2,4,47,105265,1,2,3
whuilt,wult,,,6,0,0,3,161,0,3,0,161,78,13700,3,0,509,415385,30,8660,46,5576,1,95,4
whulp,wVlp,1,,5,1,0,2,7,2,0,7,0,78,13700,3,1,282,383233,11,394,59,186597,0,0,4
wrarse,r#s,,,6,0,0,2,6,2,0,6,0,43,562,5,210,1102,632731,76,40509,173,45268,11,10914,3
wrerge,r3_,,,6,0,0,3,13,3,0,13,0,43,562,9,20,821,715915,48,12249,97,21310,7,2829,3
wrilk,rIlk,1,,5,0,0,3,128,3,0,128,0,43,562,5,86,578,216468,44,6196,124,74455,9,2592,4
wronge,rQn_,,,6,1,2,1,8,0,1,0,8,43,562,0,0,878,596994,109,52849,145,39070,22,5990,4
wrourge,r9_,,,7,0,0,1,2,0,1,0,2,43,562,9,108,985,780895,115,110162,79,28667,16,5546,3
wrulf,rVlf,,,5,0,0,1,14,1,0,14,0,43,562,1,9,285,158760,6,2994,55,98491,1,47,4
wrult,rVlt,1,,5,0,0,1,9,1,0,9,0,43,562,6,21,339,170019,10,3772,66,102685,3,762,4
yenge,jEn_,1,,5,1,0,1,0,0,1,0,0,71,10386,1,0,549,408946,54,16840,101,41118,10,1792,4
yeph,jEf,,,4,1,20,1,1,1,0,1,0,71,10386,8,7793,132,78957,1,11,10,12223,0,0,3
yerb,j3b,1,,4,2,12,2,12,2,0,12,0,71,10386,4,14,200,288806,6,921,34,85123,2,201,3
yiege,ji_,,,5,2,8,2,8,2,0,8,0,71,10386,2,6,336,110721,6,767,62,19895,5,579,3
yif,jIf,,,3,2,1,1,2694,1,0,2694,0,71,10386,5,0,54,70688,0,0,2,19,0,0,3
yoove,juv,1,,5,1,0,2,4,2,0,4,0,71,10386,8,2005,549,464581,48,19850,115,38785,10,2818,3
zilk,zIlk,,,4,2,127,3,128,3,0,128,0,20,47,3,46,267,132704,7,2338,52,60189,2,2262,4
zoint,z4nt,,,5,2,380,2,380,2,0,380,0,20,47,2,1126,556,553105,64,23291,122,76202,18,16375,4
zooth,zuT,1,,5,2,22,3,58,1,2,13,45,20,47,4,97,660,2174893,59,20870,127,51469,16,2836,3
zorch,z9J,1,,5,2,22,3,23,3,0,23,0,20,47,3,10,604,569752,28,11508,127,113159,11,4879,3
zorge,z9_,,,5,2,13,2,13,2,0,13,0,20,47,3,94,430,438276,34,13054,105,56025,14,7191,3
zoute,z6t,1,,5,1,39,1,39,0,1,0,39,20,47,8,203,524,682334,54,55945,111,190427,15,10802,3